place_name,food,address,dong,gu,lat,lng
에스알아이 서울양평해장국,찜탕,서울특별시 은평구 응암로 263,응암3동,은평구,37.5954686177993,126.91838732211
고고밥,한식,서울특별시 용산구 한강대로 95,한강로동,용산구,37.5288173852679,126.966653789116
켈리 토스트 카페,카페/디저트,서울특별시 동대문구 한천로46길 42,장안2동,동대문구,37.5814628804522,127.070706551458
오토김밥 왕십리뉴타운점,도시락,서울특별시 성동구 왕십리로 410,왕십리도선동,성동구,37.566590498762,127.02408246322
와이즈오렌지,아시안/양식,서울특별시 성동구 독서당로39길 42,옥수동,성동구,37.5408436785777,127.010513790795
제주일품순두부,한식,서울특별시 중구 명동10길 16-1,명동,중구,37.5630678689105,126.985185117182
금덕푸드(올래분식),분식,서울특별시 서대문구 신촌로 83,신촌동,서대문구,37.5560830579515,126.935844876509
궁,한식,서울특별시 노원구 노원로 421,상계6.7동,노원구,37.6542241559339,127.06697746423
짜글이 잘하는집,한식,서울특별시 노원구 상계로12길 68,상계2동,노원구,37.6554668710187,127.070549223719
초록대문 수락산점,분식,서울특별시 노원구 동일로 1700,상계1동,노원구,37.6801886481455,127.055825744964
cafe eunoia (카페 유노이아),카페/디저트,서울특별시 은평구 갈현로9길 18,역촌동,은평구,37.605066506036,126.90855140123
시골밥상,한식,서울특별시 은평구 진흥로 190-1,녹번동,은평구,37.6082904038272,126.930750207069
두번먹는명인김치찜,찜탕,서울특별시 도봉구 덕릉로60길 58,창3동,도봉구,37.6376705152102,127.040602361919
김가네 장위뉴타운점,도시락,서울특별시 성북구 돌곶이로40길 46,장위1동,성북구,37.6198223851288,127.049660439134
원조한방삼계탕,찜탕,서울특별시 성북구 고려대로1길 92,삼선동,성북구,37.5891241923566,127.017359214659
리앤리푸드,돈까스/일식,서울특별시 광진구 능동로19길 9,화양동,광진구,37.5469273581744,127.073188004368
명월숯불양꼬치,한식,서울특별시 광진구 자양로 263,구의2동,광진구,37.5498487908584,127.090197502821
프랭크버거군자역점,패스트푸드,서울특별시 광진구 천호대로 530,군자동,광진구,37.5577008537545,127.077023348242
더원간장게장,한식,서울특별시 성동구 용답중앙11길 16-1,용답동,성동구,37.5661979006198,127.052314090469
랍스터바 신세계백화점 본점,아시안/양식,서울특별시 중구 소공로 63,회현동,중구,37.560919019936,126.980979034083
샤오바오 우육면 롯데백화점 본점,중식,서울특별시 중구 남대문로 81,소공동,중구,37.5647299033135,126.981730421825
최강달인 춘천닭갈비 명동점,한식,서울특별시 중구 명동8길 8-25,명동,중구,37.5628279631947,126.984030343015
속초킹김밥&도시락,도시락,서울특별시 노원구 한글비석로 383,중계4동,노원구,37.6591119674807,127.073074956682
우리집김밥,도시락,서울특별시 노원구 중계로 225,중계1동,노원구,37.6503840349218,127.074984978156
명인만두,한식,서울특별시 은평구 응암로4길 22,응암3동,은평구,37.5867972937404,126.917742147878
부어카페,카페/디저트,서울특별시 강북구 4.19로8길 2,우이동,강북구,37.6472452250592,127.009339103002
빽가네족발,족발/보쌈,서울특별시 성북구 보국문로 166,정릉4동,성북구,37.6171196504392,127.003036682061
이토,돈까스/일식,서울특별시 광진구 아차산로33길 22,화양동,광진구,37.5412224148897,127.070365965299
장어시대,한식,서울특별시 광진구 뚝섬로 503,자양4동,광진구,37.5360763405665,127.066018887044
카토카츠,돈까스/일식,서울특별시 광진구 능동로17길 6,화양동,광진구,37.5462065990302,127.073123590984
카페 헤스트(cafe Hest),카페/디저트,서울특별시 광진구 천호대로134길 2,구의2동,광진구,37.5491644616162,127.090695504324
프랑켄프라이즈,분식,서울특별시 광진구 뚝섬로40길 33,자양3동,광진구,37.5323735961804,127.072606051732
두근두근 튀김꼬치,분식,서울특별시 동대문구 안암로22길 19 (제기동),제기동,동대문구,37.587897115252,127.035824382115
와떠마라탕 회기점,찜탕,서울특별시 동대문구 회기로 126,회기동,동대문구,37.5913261614262,127.050476665622
덮담 신당점,한식,서울특별시 중구 다산로29길 7,신당동,중구,37.5608334602491,127.013539790279
충무쌀롱,한식,서울특별시 중구 퇴계로27길 42,필동,중구,37.563178944345,126.991358773904
개나리부두,한식,서울특별시 용산구 한강대로52길 29-9,한강로동,용산구,37.5317206223562,126.973134143648
크로붕,아시안/양식,서울특별시 용산구 청파로71길 13,청파동,용산구,37.5491991569363,126.968882414396
귀한족발 가재울점,족발/보쌈,서울특별시 서대문구 가재울미래로 2,남가좌1동,서대문구,37.5744203632344,126.917897379411
오리재,아시안/양식,서울특별시 서대문구 간호대로3길 36-6,홍제3동,서대문구,37.5954406057511,126.947403534502
마루호프,치킨,서울특별시 노원구 상계로1길 62-34,상계2동,노원구,37.6587698532376,127.062086485148
달콤담다,한식,서울특별시 은평구 진흥로12길 17-1,녹번동,은평구,37.6070914010924,126.926921831181
스시도현,돈까스/일식,서울특별시 강북구 도봉로96다길 22,번1동,강북구,37.6400925337601,127.033134270008
청운수산,돈까스/일식,서울특별시 강북구 도봉로10다길 20,송중동,강북구,37.6146858558325,127.031925463021
빨래골 윤수산,돈까스/일식,서울특별시 도봉구 덕릉로59길 6,창2동,도봉구,37.6403664037678,127.039115153473
바다수퍼해물천하조개구이찜구의점,찜탕,서울특별시 광진구 아차산로 339,자양1동,광진구,37.5374610591126,127.080581224819
카페청량,카페/디저트,서울특별시 동대문구 홍릉로3길 18 (제기동),제기동,동대문구,37.5818416365279,127.04357625133
영미식당,한식,서울특별시 중구 퇴계로83길 10-14,황학동,중구,37.5660239725568,127.01903901589
라인드한남,아시안/양식,서울특별시 용산구 대사관로31길 16,한남동,용산구,37.533998823982,127.005997148647
핑,한식,서울특별시 용산구 보광로59길 7,이태원1동,용산구,37.5338262592193,126.9935643319
싸다김밥 종로관철점,도시락,서울특별시 종로구 삼일대로 391,종로1.2.3.4가동,종로구,37.5694808730925,126.987383331119
(주)연남방앗간,아시안/양식,서울특별시 중구 통일로 1,회현동,중구,37.5560581817344,126.972115894161
오아시스,한식,서울특별시 서대문구 이화여대5길 15,신촌동,서대문구,37.5582872046756,126.944833931527
부리나케밥,아시안/양식,서울특별시 노원구 한글비석로 383,중계4동,노원구,37.6591119674807,127.073074956682
종로전집,한식,서울특별시 노원구 광운로10길 3,월계1동,노원구,37.6209010072217,127.059309254353
토담옛날통닭,치킨,서울특별시 노원구 동일로228길 35,상계9동,노원구,37.6679405988859,127.059064100243
cafe79(카페79),카페/디저트,서울특별시 은평구 갈현로33길 13,갈현2동,은평구,37.6206970477867,126.914827812426
두촌가마솥밥&명인만두,한식,서울특별시 은평구 은평로 111,응암1동,은평구,37.6008254685415,126.920513478627
먼치오케이 샐러드클럽 은평점,한식,서울특별시 은평구 갈현로11길 3,역촌동,은평구,37.605343193015,126.910066558928
쌀국수 밴드,아시안/양식,서울특별시 은평구 역말로 19,역촌동,은평구,37.6058060306003,126.912583653032
토리아에즈 구파발점,한식,서울특별시 은평구 진관1로 21-39,진관동,은평구,37.6338625622068,126.918572501207
늘조은찬,한식,서울특별시 강북구 삼양로19길 25,삼각산동,강북구,37.6156943247238,127.021139026425
로로다방,카페/디저트,서울특별시 강북구 수유로4길 35,수유1동,강북구,37.6319449318919,127.020386969677
고돼지 석관점,한식,서울특별시 성북구 돌곶이로9길 13,석관동,성북구,37.6065905513361,127.0603046895
체르니,치킨,서울특별시 중랑구 용마산로86길 9-27,면목3.8동,중랑구,37.5873662061942,127.096060534833
진성식당,한식,서울특별시 동대문구 장한로24길 30-2,장안2동,동대문구,37.57029121387,127.07243626126
만만스시,돈까스/일식,서울특별시 성동구 왕십리로 382,왕십리도선동,성동구,37.5651102845783,127.028019796271
서울숲 포도피자,피자,서울특별시 성동구 서울숲4길 22-7,성수1가2동,성동구,37.54698256094,127.043284705398
(주)키친엑스 용산4호점,한식,서울특별시 용산구 한강대로 329,남영동,용산구,37.5476709088343,126.971482484737
썬워터,한식,서울특별시 용산구 후암로 3,후암동,용산구,37.5461987640983,126.97824205488
봉이밥 순화점,한식,서울특별시 중구 서소문로9길 28,소공동,중구,37.5637084894676,126.970042986983
오늘하루(ONURARU),아시안/양식,서울특별시 중구 퇴계로41길 22,광희동,중구,37.5627623089127,126.996217716126
연희가맥,한식,서울특별시 서대문구 연희로 93-7,연희동,서대문구,37.5665932320631,126.930060673417
소풍,한식,서울특별시 노원구 노원로28길 9,상계2동,노원구,37.6530278761718,127.068468944165
IAM꼬마김밥(아이엠꼬마김밥),도시락,서울특별시 은평구 진관3로 11,진관동,은평구,37.6394630545503,126.918268068589
춘삼,한식,서울특별시 은평구 갈현로29길 50,갈현2동,은평구,37.6221604212259,126.911628407105
육수명가,한식,서울특별시 강북구 삼양로47길 3 (미아동),삼양동,강북구,37.6232494145601,127.01879295274
스시화 도봉,돈까스/일식,서울특별시 도봉구 해등로25길 41,쌍문4동,도봉구,37.6558809051642,127.034124384435
낙지마당,한식,서울특별시 성북구 장월로 74,장위2동,성북구,37.6123052776892,127.048970560181
돈까스짱자양전통시장점,한식,서울특별시 광진구 자양로15길 83,자양1동,광진구,37.5347944094885,127.07918840463
브라더한정식도시락세종대점,한식,서울특별시 광진구 군자로 76,군자동,광진구,37.5499539254444,127.071085415083
장칼장 구의역점,한식,서울특별시 광진구 자양로 112,구의1동,광진구,37.5376694764699,127.083667631804
야키토리쿠이신보 삼각지점,돈까스/일식,서울특별시 용산구 한강대로52길 29-6,한강로동,용산구,37.5317079656479,126.97294713194
재동맥주,야식,서울특별시 종로구 북촌로4길 6,가회동,종로구,37.5790857147112,126.985527005478
미드템포,아시안/양식,서울특별시 중구 동호로25길 5,장충동,중구,37.5589003083629,127.002587715082
란주우육면,중식,서울특별시 서대문구 연세로7안길 5,신촌동,서대문구,37.5579325469635,126.936199459198
명지샤브,한식,서울특별시 서대문구 증가로10길 63,홍은2동,서대문구,37.5796913961199,126.925277979388
보성집,한식,서울특별시 서대문구 경기대로 26-22,충현동,서대문구,37.5615351733222,126.962689707047
BBQ 하계스마트점,치킨,서울특별시 노원구 공릉로59가길 28,하계1동,노원구,37.6346326372159,127.070959129975
모스버거&빨라쪼 아이스크림,패스트푸드,서울특별시 노원구 노해로81길 16,상계2동,노원구,37.6556388872669,127.062868428662
"닭찌, 흔한 닭볶음탕에도 명품은 있다.",찜탕,서울특별시 강북구 오패산로 202,송중동,강북구,37.6205997859449,127.032821481622
