place_name,food,address,gu,lat,lng
바베큐(BBQ)905,치킨,서울특별시 동대문구 경희대로1가길 5,동대문구,37.5921234626812,127.051281581956
서파넓적갈비 용두점,한식,서울특별시 동대문구 천호대로31길 16,동대문구,37.5742190591633,127.040765085091
카츠와이찌,돈까스/일식,서울특별시 동대문구 천호대로77길 123,동대문구,37.5669284752394,127.064428271329
딸만셋 나주곰탕  설렁탕 육개장,찜탕,서울특별시 중랑구 동일로123길 33,중랑구,37.5976784766013,127.078154673974
로우로우 (Raw Raw),한식,서울특별시 중랑구 봉우재로33길 85,중랑구,37.595851483177,127.089638250848
인커피(inn coffee),카페/디저트,서울특별시 용산구 한강대로48길 3,용산구,37.5318440723915,126.9709066447
뱅글,아시안/양식,서울특별시 성동구 연무장18길 16,성동구,37.5392888004233,127.0619662359
카페연무장,카페/디저트,서울특별시 성동구 연무장길 36,성동구,37.5428890034999,127.053314378125
무한,한식,서울특별시 서대문구 연세로9길 37,서대문구,37.5585325372377,126.934582765695
멕시카나치킨 불광점,치킨,서울특별시 은평구 불광로 90,은평구,37.6150686709961,126.933000699618
바로덮밥 바로파스타,돈까스/일식,서울특별시 동대문구 전농로11길 59,동대문구,37.5734109648647,127.057056124787
파스타집이야,아시안/양식,서울특별시 동대문구 전농로11길 59,동대문구,37.5734109648647,127.057056124787
롱시티카페,카페/디저트,서울특별시 용산구 청파로45길 17,용산구,37.5442844805408,126.969583764304
마이하우스(My house),아시안/양식,서울특별시 용산구 회나무로44나길 28,용산구,37.5375889627832,126.992617312916
육즙마니,한식,서울특별시 종로구 대학로 143,종로구,37.5840325993163,127.001309010548
스피크이지 안녕(speakeasy 안녕),분식,서울특별시 중구 퇴계로87길 35-25,중구,37.5670161961523,127.01984858306
빽곱창,한식,서울특별시 도봉구 우이천로 182-1,도봉구,37.636843092083,127.037481720678
경성곱창,한식,서울특별시 은평구 불광로 95,은평구,37.6153803149222,126.932670141856
안암카페 더보일,카페/디저트,서울특별시 성북구 고려대로28길 17-3,성북구,37.5857099717636,127.030990687553
착한국밥 2호점,찜탕,서울특별시 강북구 도봉로10다길 7,강북구,37.6144974626998,127.031238783466
엄마분식,분식,서울특별시 동대문구 이문로 136,동대문구,37.5984809170412,127.061872724933
일품식탁,한식,서울특별시 동대문구 황물로 90,동대문구,37.5703555036136,127.050124506884
영경 SK (강창구찹쌀진순대),한식,서울특별시 중랑구 신내역로 111,중랑구,37.613121773853,127.11244192431
산카이,돈까스/일식,서울특별시 광진구 동일로22길 87,광진구,37.5412285273791,127.069016182723
소와나 별관 3호,한식,서울특별시 용산구 이태원로54길 62-8,용산구,37.5355500471467,127.000687232302
더 퍼퓸클럽 바이 수향,아시안/양식,서울특별시 성동구 성수이로7길 28,성동구,37.5417482282496,127.054149763785
카페 타셴,카페/디저트,서울특별시 종로구 동숭길 113,종로구,37.5829715425845,127.003577707596
코야마,돈까스/일식,서울특별시 종로구 종로 33,종로구,37.5709617749066,126.981437983842
탈리(Tally),아시안/양식,서울특별시 서대문구 연세로5나길 30-6,서대문구,37.557204313578,126.934793189268
돈타령,한식,서울특별시 도봉구 방학로12가길 5,도봉구,37.6630330990084,127.030772671449
우공,돈까스/일식,서울특별시 성북구 동소문로20길 37-7,성북구,37.5911027108006,127.017158242774
또래오래 중랑묵동점,치킨,서울특별시 중랑구 동일로151길 16,중랑구,37.6082490848418,127.077178844068
보배반점 상봉점,중식,서울특별시 중랑구 망우로 326,중랑구,37.5968026865946,127.088648011339
숯불바베큐통닭,한식,서울특별시 중랑구 용마산로 371,중랑구,37.5849964645823,127.094097911828
카페프로젝트이응,카페/디저트,서울특별시 동대문구 망우로18다길 28-4,동대문구,37.5860266549641,127.060543519699
계업식,아시안/양식,서울특별시 용산구 한남대로42길 36,용산구,37.5437238797055,127.003150252871
오씨네 덮밥,돈까스/일식,서울특별시 성동구 상원12길 30,성동구,37.5500400476309,127.050663371547
퍼멘티드 고스트,아시안/양식,서울특별시 성동구 성수일로3길 5-12,성동구,37.5419310988984,127.047973331104
회포,한식,서울특별시 종로구 새문안로5길 10,종로구,37.5710689915134,126.975069381351
덮밥만드는남자 이대점,돈까스/일식,서울특별시 서대문구 이화여대2가길 17,서대문구,37.5581528946798,126.94606608013
도시도시락,한식,서울특별시 서대문구 응암로 117,서대문구,37.5831382808215,126.91347037431
배나무집소반,한식,서울특별시 서대문구 홍제원4길 8,서대문구,37.5863743438234,126.94733915173
술판,한식,서울특별시 서대문구 응암로 126,서대문구,37.5835603346089,126.914250396021
커피의 품격,카페/디저트,서울특별시 서대문구 명지대1나길 1,서대문구,37.5811621957802,126.922785387203
홍대개미 용산아이파크몰점,한식,서울특별시 용산구 한강대로23길 55,용산구,37.5297718014452,126.964741503485
테라스시,돈까스/일식,서울특별시 중구 퇴계로 343-2,중구,37.5648545166215,127.009922137198
신안식당,한식,서울특별시 은평구 증산로3길 12,은평구,37.58146885421,126.905061621787
오월 은평직영점,한식,서울특별시 은평구 응암로30길 16,은평구,37.5952285650967,126.91939457024
하루단비,한식,서울특별시 은평구 연서로5길 8,은평구,37.604156610988,126.914583035134
상감치킨,치킨,서울특별시 성북구 보문로 131-1,성북구,37.5866547665518,127.018448955445
순살의민족 미아점,한식,서울특별시 강북구 솔샘로59길 17 (미아동),강북구,37.6190630549958,127.025562482879
에스에이치 푸드(S H food),한식,서울특별시 강북구 노해로17길 37,강북구,37.6404500687136,127.020293893163
카페 시월생,카페/디저트,서울특별시 강북구 한천로 1121,강북구,37.6448820560805,127.019488566052
빅파이브 본점,돈까스/일식,서울특별시 중랑구 공릉로2길 8-4,중랑구,37.6118425179795,127.078245490703
프리티워모,한식,서울특별시 광진구 천호대로 544,광진구,37.5572145871483,127.07839001386
와코타코,아시안/양식,서울특별시 서대문구 연희로10길 82,서대문구,37.5637454965228,126.933566325834
시즈닝 밸런스,한식,서울특별시 도봉구 도봉로109길 67 (쌍문동),도봉구,37.6473619670323,127.029661406199
바른푸드,한식,서울특별시 용산구 한강대로14길 69,용산구,37.5234515758284,126.967692515636
착한덮밥,돈까스/일식,서울특별시 성동구 동일로 135-1,성동구,37.5446988965089,127.065066691607
더 테이블 킹스타운점,한식,서울특별시 중구 장충단로13길 20,중구,37.568734553218,127.007666479829
금복주,한식,서울특별시 은평구 은평로8길 29,은평구,37.5978030618977,126.919665827702
제비 파스타&리조또 연신내점,한식,서울특별시 은평구 갈현로 306-7,은평구,37.6240836587828,126.917720902338
프로방스 앤 카페,카페/디저트,서울특별시 은평구 진흥로 73,은평구,37.6035583476686,126.921178383625
오패산반점,중식,서울특별시 강북구 덕릉로 123-1,강북구,37.6351372118817,127.027502032119
따뜻한 집밥,한식,서울특별시 중랑구 겸재로64길 53,중랑구,37.5881048454403,127.095386902962
가마로강정구의사거리점,치킨,서울특별시 광진구 광나루로 533,광진구,37.5450688365228,127.088859538702
광진비어,치킨,서울특별시 광진구 뚝섬로 510,광진구,37.5355356750214,127.066935096961
퍼콜레이트,아시안/양식,서울특별시 광진구 면목로 86,광진구,37.5613138715821,127.07890238348
덮덮밥,돈까스/일식,서울특별시 서대문구 모래내로 465,서대문구,37.5858870026425,126.946153861335
투핫,치킨,서울특별시 노원구 덕릉로86길 21,노원구,37.6600901707193,127.076751612126
동근이숯불두마리치킨 숙대점,한식,서울특별시 용산구 청파로49길 56,용산구,37.5450593381254,126.967220151996
퍼즈 남영,아시안/양식,서울특별시 용산구 한강대로 277-2,용산구,37.5430613025848,126.972219745715
프루프인더커피(proof in the coffee),카페/디저트,서울특별시 용산구 소월로38가길 24,용산구,37.5424040992827,126.990296056992
카페인 오버플로우,카페/디저트,서울특별시 은평구 은평터널로7가길 14-14,은평구,37.5923233689524,126.902286402573
교촌치킨 보문점,치킨,서울특별시 성북구 보문로 47,성북구,37.5796564727842,127.022160855842
술이그린이밤,한식,서울특별시 성북구 정릉로10길 36,성북구,37.6079415855576,126.999770662981
옹달샘 아구찜,찜탕,서울특별시 성북구 화랑로19길 64,성북구,37.6091316218358,127.050495265135
용가네해장국,찜탕,서울특별시 성북구 정릉로32가길 4,성북구,37.6018226181256,127.016510912846
미도인,한식,서울특별시 강북구 도봉로 315,강북구,37.6369305402999,127.02328159303
주꾸미 대첩,한식,서울특별시 중랑구 면목로35길 44,중랑구,37.5790600482097,127.083747774543
곰곰탕,찜탕,서울특별시 광진구 능동로 430,광진구,37.5672654023698,127.085250990385
술마켓바,한식,서울특별시 광진구 천호대로 515,광진구,37.5588878864114,127.075958428302
테일러김밥,도시락,서울특별시 광진구 긴고랑로11길 12,광진구,37.5637821364952,127.081705546243
라사천마라탕 용산점,찜탕,서울특별시 용산구 한강대로 329,용산구,37.5476709088343,126.971482484737
라스포차,야식,서울특별시 도봉구 도봉산3길 46,도봉구,37.6853113801159,127.043537514711
모들랑 국수,한식,서울특별시 도봉구 시루봉로 286,도봉구,37.6710408499019,127.040814022363
순살만공격,치킨,서울특별시 도봉구 노해로 341,도봉구,37.6514452431588,127.045912956978
알라보 남대문 그랜드센트럴점,아시안/양식,서울특별시 중구 세종대로 14,중구,37.5578385325826,126.9744151
역전할머니맥주,야식,서울특별시 은평구 통일로 1020,은평구,37.6333643585248,126.917852171711
도우네 튀김분식,분식,서울특별시 성북구 동소문로20길 16-9,성북구,37.5917025521577,127.016159254534
딜리버리 밤,한식,서울특별시 강북구 오패산로 396-1,강북구,37.6366597978683,127.027839650158
사위식당 수유점,한식,서울특별시 강북구 도봉로 315,강북구,37.6369305402999,127.02328159303
씨오라 광어의바다,회,서울특별시 강북구 오패산로30길 25,강북구,37.6144059267678,127.034766536851
꿀포차,야식,서울특별시 중랑구 동일로 631-3,중랑구,37.5869071622365,127.07944069629
다이아,한식,서울특별시 중랑구 봉우재로33길 47,중랑구,37.5946129595778,127.088231208808
국민빵집,카페/디저트,서울특별시 용산구 한강대로62다길 27,용산구,37.5326739484232,126.974659367094
"주만,(Juman,)",한식,서울특별시 용산구 한강대로40길 14,용산구,37.5301466215658,126.969969527032
짝태&노가리,한식,서울특별시 서대문구 연세로7안길 48,서대문구,37.5584638115824,126.934295014374
다와 생오리,한식,서울특별시 은평구 연서로3길 30,은평구,37.6026033518172,126.912435086507
가마치통닭 남산타운점,치킨,서울특별시 중구 다산로 32,중구,37.5471667734011,127.005677166122
쿠원콴,아시안/양식,서울특별시 종로구 대명1길 9,종로구,37.583007272026,127.000985763581
