,date,sex,age_group,order_amt,order_cnt
159,202004,여,60대이상,113928313,4953
160,202005,남,20대,319341982,16010
161,202005,남,30대,833170463,38536
162,202005,남,40대,694991115,29187
163,202005,남,50대,242141986,10618
164,202005,남,60대이상,51676850,1943
165,202005,여,20대,586501045,28358
166,202005,여,30대,1660690328,73723
167,202005,여,40대,1753038460,74744
168,202005,여,50대,543366790,24571
169,202005,여,60대이상,116555569,4912
170,202006,남,20대,317439058,15956
171,202006,남,30대,822518038,38272
172,202006,남,40대,688884681,29339
173,202006,남,50대,258308030,11396
174,202006,남,60대이상,51904651,2102
175,202006,여,20대,591893817,28946
176,202006,여,30대,1670652142,75244
177,202006,여,40대,1813534662,78691
178,202006,여,50대,555255902,25671
179,202006,여,60대이상,122677168,5395
180,202007,남,20대,339190172,16994
181,202007,남,30대,897762297,41260
182,202007,남,40대,750759518,31513
183,202007,남,50대,265298738,11821
184,202007,남,60대이상,60916544,2497
185,202007,여,20대,648504336,31547
186,202007,여,30대,1798076776,80899
187,202007,여,40대,1955430863,84862
188,202007,여,50대,601793895,27780
189,202007,여,60대이상,133649158,5926
190,202008,남,20대,416675806,20609
191,202008,남,30대,1112522983,50025
192,202008,남,40대,949987350,38943
193,202008,남,50대,349067047,14866
194,202008,남,60대이상,77314886,3211
195,202008,여,20대,822316668,39370
196,202008,여,30대,2300987952,100398
197,202008,여,40대,2458469698,102658
198,202008,여,50대,797735963,35017
199,202008,여,60대이상,172400772,7212
200,202009,남,20대,432212343,20805
201,202009,남,30대,1080942218,48256
202,202009,남,40대,919907321,37367
203,202009,남,50대,359490962,15395
204,202009,남,60대이상,77963947,3236
205,202009,여,20대,825384461,38951
206,202009,여,30대,2195153186,96329
207,202009,여,40대,2408642021,101370
208,202009,여,50대,802261835,35056
209,202009,여,60대이상,172569086,7120
210,202010,남,20대,392959468,19193
211,202010,남,30대,990341676,44358
212,202010,남,40대,874599885,35484
213,202010,남,50대,339450390,14690
214,202010,남,60대이상,75596842,3098
215,202010,여,20대,726087980,34882
216,202010,여,30대,1983538178,86746
217,202010,여,40대,2236122980,94076
218,202010,여,50대,749730880,33182
219,202010,여,60대이상,159552407,6663
220,202011,남,20대,419122404,20446
221,202011,남,30대,1055393261,47269
222,202011,남,40대,927423157,37823
223,202011,남,50대,371402531,15802
224,202011,남,60대이상,77284720,3194
225,202011,여,20대,785250888,37457
226,202011,여,30대,2108477202,92789
227,202011,여,40대,2382677123,100859
228,202011,여,50대,842154790,36946
229,202011,여,60대이상,171769889,7405
230,202012,남,20대,621773071,28213
231,202012,남,30대,1460730083,62338
232,202012,남,40대,1303087600,50633
233,202012,남,50대,524277252,21204
234,202012,남,60대이상,113368721,4482
235,202012,여,20대,1116118290,50412
