,gu,address,food,name,rating,lat,lng
6731,광진구,서울 광진구 광나루로 361 광진 동양파라곤,분식,동대문엽기떡볶이 군자점,4.29,37.5484457321993,127.069745720123
6732,노원구,서울 노원구 마들로3길 15 1층,분식,바르다김선생 월계점,4.29,37.6265093604229,127.061979778612
6733,강동구,서울 강동구 천호대로 1006,분식,고봉민김밥인 강동천호역점,4.12,37.5380513979559,127.123788971242
6734,노원구,서울 노원구 동일로 1279 중계그린아파트 B상가 101호,분식,얌샘김밥 중계역점,4.44,37.6430702786721,127.064011517969
6735,노원구,"서울 노원구 공릉로 143 1층 101호, 102호",분식,놀러오새우 공릉점,4.27,37.6227610110352,127.079115446657
6736,광진구,서울 광진구 아차산로 502 진넥스 오딧세이,분식,봉구스밥버거 광장점,4.07,37.5413567898085,127.097232342773
6737,강동구,서울 강동구 올림픽로70길 51-2,분식,동대문엽기떡볶이 천호점,4.36,37.5392723718664,127.126734330403
6738,성동구,서울 성동구 아차산로 126 더리브 세종타워,분식,오늘애김밥 성수역점,4.43,37.5434989075604,127.058053868759
6739,강북구,서울 강북구 도봉로10길 54 남상빌딩 1층,분식,썬데이스낵,4.53,37.6150329014949,127.030967854402
6740,성동구,서울 성동구 무학봉16길 26 1층,분식,삼맛호오떡 왕십리본점,4.5,37.5597548691758,127.033166229761
6741,송파구,서울 송파구 올림픽로35길 104,분식,뽀빠이분식,4.11,37.519817176496,127.099302526074
6742,강남구,서울 강남구 언주로130길 14 회림빌딩 1층,분식,슈퍼집,4.3,37.5148382107332,127.036775427752
6743,송파구,서울 송파구 올림픽로35길 112 장미B상가 45호 지하1층,분식,환희분식,4.49,37.5178827571707,127.101802779596
6744,강남구,서울 강남구 논현로151길 52 1층,분식,분식이이래도되는가 강남신사점,4.46,37.5196815257034,127.023912066301
6745,서대문구,서울 서대문구 신촌로 83,분식,남도분식 현대백화점 신촌점,4.16,37.5560830579515,126.935844876509
6746,중랑구,서울 중랑구 사가정로72길 26,분식,동대문엽기떡볶이 면목점,4.4,37.5800711747193,127.093430676323
6747,서초구,서울 서초구 강남대로65길 7 1층,야식,인쌩맥주 강남점,4.15,37.5002593557814,127.025329335344
6748,강남구,서울 강남구 도산대로17길 4,아시안/양식,양철지붕 본점,4.42,37.5189902925455,127.025134654246
6749,성동구,서울 성동구 마조로 33,분식,악어떡볶이,4.35,37.5606485083606,127.041091574869
6750,동대문구,서울 동대문구 망우로16길 15,야식,놀부만두,4.38,37.5893525413018,127.061487903115
6751,강남구,서울 강남구 삼성로 212,분식,튀김아저씨,4.55,37.4996157705058,127.065915414443
6752,노원구,서울 노원구 섬밭로 56 송정빌딩,야식,춘보만두,4.36,37.6219176576183,127.071836583712
6753,성북구,서울 성북구 보문로30길 82,분식,우리할매떡볶이 성신여대점,4.28,37.5910922605781,127.020011228922
6754,동작구,서울 동작구 만양로 88 1층 양자호떡,카페/디저트,양자호떡 노량진점,4.1,37.5113437792561,126.944581774322
6755,광진구,서울 광진구 천호대로129길 15 102호,분식,황순애신토불이떡볶이,4.37,37.5528041397236,127.090452187109
